air_temp,process_temp,rotational_speed,torque,tool_wear,machine_failure,Type_L,Type_M,air_temp_mean_6,process_temp_mean_6,rpm_std_6,torque_std_6,air_temp_lag1,air_temp_lag2,temp_diff,wear_torque,machine_id
298.1,308.6,1425,41.9,11,0,0,1,298.15000000000003,308.6166666666667,58.06691542235273,3.840529477385465,298.2,298.2,10.5,460.9,MACHINE_0001
298.1,308.6,1558,42.4,14,0,1,0,298.15000000000003,308.6166666666666,60.43177971895249,3.8547373451377984,298.1,298.2,10.5,593.6,MACHINE_0002
298.1,308.6,1527,40.2,16,0,1,0,298.1333333333334,308.6,61.44075737380408,3.69034777042309,298.1,298.1,10.5,643.2,MACHINE_0003
298.3,308.7,1667,28.6,18,0,0,1,298.1666666666667,308.6333333333334,100.50472625702722,5.108685414729185,298.1,298.1,10.399999999999975,514.8000000000001,MACHINE_0004
298.5,309.0,1741,28.0,21,0,0,1,298.2166666666667,308.7,131.48333227701,6.690814599135149,298.3,298.1,10.5,588.0,MACHINE_0005
298.4,308.9,1782,23.9,24,0,0,0,298.25,308.7333333333333,136.78109031100243,8.226947591097606,298.5,298.3,10.5,573.5999999999999,MACHINE_0006
298.6,309.1,1423,44.3,29,0,0,0,298.3333333333333,308.81666666666666,137.34287992708832,8.721620644505624,298.4,298.5,10.5,1284.6999999999998,MACHINE_0007
298.6,309.1,1339,51.1,34,0,0,1,298.4166666666667,308.90000000000003,178.79196477097787,10.76762121671573,298.6,298.4,10.5,1737.4,MACHINE_0008
298.6,309.2,1742,30.0,37,0,0,1,298.5,309.0,187.42216162094223,10.78024427676232,298.6,298.6,10.599999999999966,1110.0,MACHINE_0009
298.6,309.2,2035,19.6,40,0,1,0,298.55,309.0833333333333,255.4486249718325,12.259431743219858,298.6,298.6,10.599999999999966,784.0,MACHINE_0010
298.6,309.2,1542,48.4,42,0,1,0,298.56666666666666,309.1166666666666,258.3791142230088,13.429432849776893,298.6,298.6,10.599999999999966,2032.8,MACHINE_0011
298.6,309.2,1311,46.6,44,0,0,1,298.6,309.1666666666667,278.7519805609758,12.42561869686979,298.6,298.6,10.599999999999966,2050.4,MACHINE_0012
298.7,309.2,1410,45.6,47,0,0,1,298.6166666666667,309.18333333333334,280.1266975257208,12.526518537353736,298.6,298.6,10.5,2143.2000000000003,MACHINE_0013
298.8,309.2,1306,54.5,50,0,0,0,298.65000000000003,309.2,285.67720711787047,13.17731636816339,298.7,298.6,10.399999999999975,2725.0,MACHINE_0014
298.9,309.3,1632,32.5,55,0,0,1,298.7,309.21666666666664,274.80441529689193,12.802343535462564,298.8,298.7,10.400000000000034,1787.5,MACHINE_0015
298.9,309.3,1375,42.7,58,0,0,0,298.75,309.2333333333333,131.38290096761722,7.29732827821253,298.9,298.8,10.400000000000034,2476.6000000000004,MACHINE_0016
298.8,309.3,1450,44.8,63,0,1,0,298.78333333333336,309.25,120.5238565596042,7.112453866282736,298.9,298.9,10.5,2822.4,MACHINE_0017
298.9,309.3,1581,30.7,65,0,0,1,298.8333333333333,309.2666666666667,124.70765814495924,8.890894218243753,298.8,298.9,10.400000000000034,1995.5,MACHINE_0018
299.0,309.4,1758,25.7,68,0,1,0,298.8833333333333,309.3,170.04470000561616,10.714553964895916,298.9,298.8,10.399999999999975,1747.6,MACHINE_0019
299.0,309.4,1561,37.3,70,0,0,1,298.9166666666667,309.3333333333333,135.0211094607061,7.342592639297558,299.0,298.9,10.399999999999975,2611.0,MACHINE_0020
299.0,309.5,1861,23.3,73,0,1,0,298.93333333333334,309.3666666666667,183.33539392781367,8.915697766673487,299.0,299.0,10.5,1700.9,MACHINE_0021
299.1,309.5,1512,39.0,75,0,1,0,298.96666666666664,309.40000000000003,156.6457787493807,8.307747388231455,299.0,299.0,10.399999999999975,2925.0,MACHINE_0022
299.1,309.4,1811,24.6,77,0,0,0,299.01666666666665,309.41666666666663,147.09815317218147,6.7418098460279765,299.1,299.0,10.299999999999956,1894.2,MACHINE_0023
299.1,309.4,1439,44.2,82,0,1,0,299.05,309.43333333333334,175.09882923651975,8.891962662989533,299.1,299.1,10.299999999999956,3624.4,MACHINE_0024
299.0,309.4,1693,30.1,84,0,1,0,299.05,309.43333333333334,169.52217160792443,8.401765687441337,299.1,299.1,10.399999999999975,2528.4,MACHINE_0025
299.1,309.5,1339,48.2,86,0,0,1,299.06666666666666,309.45,210.98475458351624,10.429573337390174,299.0,299.1,10.399999999999975,4145.2,MACHINE_0026
299.0,309.4,1798,25.5,89,0,1,0,299.06666666666666,309.43333333333334,197.05295396584796,9.968684299679008,299.1,299.0,10.399999999999975,2269.5,MACHINE_0027
299.0,309.4,1419,48.3,91,0,1,0,299.05,309.41666666666663,208.55542828386552,11.299454264107924,299.0,299.1,10.399999999999975,4395.3,MACHINE_0028
298.9,309.3,1665,32.5,93,0,1,0,299.0166666666667,309.40000000000003,183.69149862382469,9.973698745534016,299.0,299.0,10.400000000000034,3022.5,MACHINE_0029
298.8,309.1,1559,34.7,95,0,0,1,298.96666666666664,309.35,174.32890370408052,9.563629018317265,298.9,299.0,10.300000000000011,3296.5000000000005,MACHINE_0030
298.8,309.2,1452,48.6,98,0,0,1,298.93333333333334,309.31666666666666,170.48479893136104,10.038658608931122,298.8,298.9,10.399999999999975,4762.8,MACHINE_0031
298.9,309.2,1581,36.7,101,0,0,1,298.90000000000003,309.26666666666665,139.63523910532007,9.132889283609366,298.8,298.8,10.300000000000011,3706.7,MACHINE_0032
298.8,309.1,1439,39.2,104,0,1,0,298.8666666666667,309.21666666666664,97.6205237983622,6.909703322140558,298.9,298.8,10.300000000000011,4076.8,MACHINE_0033
298.9,309.2,1379,50.7,106,0,0,0,298.85,309.18333333333334,106.76656780097382,7.528080764710239,298.8,298.9,10.300000000000011,5374.200000000001,MACHINE_0034
298.8,309.1,1350,52.5,111,0,1,0,298.8333333333333,309.15000000000003,93.3895069052191,7.754912421598785,298.9,298.8,10.300000000000011,5827.5,MACHINE_0035
298.8,309.1,1362,45.4,113,0,1,0,298.8333333333333,309.15000000000003,85.95677208147507,6.368490140266155,298.8,298.9,10.300000000000011,5130.2,MACHINE_0036
298.8,309.1,1368,50.8,115,0,1,0,298.8333333333333,309.1333333333333,87.92136638307358,6.639101344810699,298.8,298.8,10.300000000000011,5842.0,MACHINE_0037
298.8,309.1,1368,49.1,117,0,0,1,298.81666666666666,309.1166666666667,31.50026454915397,4.914773646873337,298.8,298.8,10.300000000000011,5744.7,MACHINE_0038
298.8,309.2,1372,48.5,120,0,0,0,298.81666666666666,309.1333333333334,9.833615815153015,2.453568829277201,298.8,298.8,10.399999999999975,5820.0,MACHINE_0039
298.8,309.1,1472,47.5,125,0,0,1,298.8,309.1166666666667,44.75712233823818,2.4881050352964103,298.8,298.8,10.300000000000011,5937.5,MACHINE_0040
298.8,309.1,1489,49.1,128,0,1,0,298.8,309.1166666666668,58.687022983506935,1.819890106572558,298.8,298.8,10.300000000000011,6284.8,MACHINE_0041
298.7,309.0,1843,25.8,130,0,0,1,298.78333333333336,309.1,183.5730553939401,9.53198125610134,298.8,298.8,10.300000000000011,3354.0,MACHINE_0042
298.8,309.1,1418,46.3,133,0,1,0,298.78333333333336,309.1,178.23879113892855,9.16698787316026,298.7,298.8,10.300000000000011,6157.9,MACHINE_0043
298.8,309.2,1425,53.9,135,0,0,0,298.78333333333336,309.1166666666667,171.59652288629448,9.845286520293214,298.8,298.7,10.399999999999975,7276.5,MACHINE_0044
298.9,309.2,1412,44.1,140,0,0,1,298.8,309.1166666666666,166.17270132806584,9.71179695010149,298.8,298.8,10.300000000000011,6174.0,MACHINE_0045
298.9,309.1,2861,4.6,143,1,1,0,298.81666666666666,309.1166666666667,572.8408737744422,18.67393905955571,298.9,298.8,10.200000000000044,657.8,MACHINE_0046
